X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
256424.607057693,-1627264.00758902,,"80","0","0","80",2175032.00504746800289,170.72204455997957
257202.736263754,-1638157.81647388,,"81","0","0","81",2185953.56890440871939,185.16757817376808
250199.5734092,-1665392.33868604,,"82","0","0","82",2214074.08614879567176,195.40515673077292
238527.635318276,-1705076.92819518,,"83","0","0","83",2255439.54013285692781,188.19477016701737
238527.635318276,-1729977.06278915,,"84","0","0","84",2280339.67472682893276,180.84234215894821
237749.506112214,-1756433.45579525,,"85","0","0","85",2306807.50833583949134,180.84234215894821
237749.506112214,-1768105.39388617,,"86","0","0","86",2318479.44642676413059,176.64508159612146
239305.764524337,-1781333.59038922,,"87","0","0","87",2331798.87295227730647,171.84539210498704
241802.563105665,-1796096.52313236,,"88","0","0","88",2346771.45410363795236,168.38681307891977
244094.431193459,-1805550.47899451,,"89","0","0","89",2356499.24628764903173,166.43863592965633
245813.332259304,-1812712.56676886,,"90","0","0","90",2363864.71451185131446,166.52782583375881
248964.650880021,-1825890.80827368,,"91","0","0","91",2377414.50632606260478,165.30299452369536
254121.354077557,-1843939.26946505,,"92","0","0","92",2396185.18929829541594,165.91474071167065
255983.496898889,-1852533.77479428,,"93","0","0","93",2404979.11320865200832,170.93436810524673
256842.947431812,-1860841.79661253,,"94","0","0","94",2413331.47106443718076,177.72889320891616
256699.705676324,-1866857.95034299,,"95","0","0","95",2419349.32981228269637,193.34180722095621
250397.068434892,-1880179.43360329,,"96","0","0","96",2434086.53281867364421,207.96914615960941
246243.057525766,-1887198.27962216,,"97","0","0","97",2442242.51259241765365,266.88908382715726
244408.860289337,-1884750.06180659,,"98","0","0","98",2445301.60559110390022,317.10718800818370
